Name,Address
switchdataD_80010068,0x80010068
switchdataD_800100a0,0x800100A0
switchdataD_80010138,0x80010138
switchdataD_80010158,0x80010158
switchdataD_800101a8,0x800101A8
switchdataD_800101c8,0x800101C8
switchdataD_800101e8,0x800101E8
switchdataD_80010220,0x80010220
switchdataD_80010258,0x80010258
switchdataD_800102b4,0x800102B4
switchdataD_80010300,0x80010300
switchdataD_80010314,0x80010314
switchdataD_80010344,0x80010344
switchdataD_80010360,0x80010360
switchdataD_80010378,0x80010378
switchdataD_80010394,0x80010394
switchdataD_80010450,0x80010450
switchdataD_8001052c,0x8001052C
switchdataD_8001054c,0x8001054C
switchdataD_8001056c,0x8001056C
switchdataD_8001058c,0x8001058C
switchdataD_80010820,0x80010820
switchdataD_80010be4,0x80010BE4
2MBYTE_OBJ_18,0x800110D0
switchD,0x80011594
caseD_1,0x8001159C
caseD_2,0x800115AC
caseD_3,0x800115BC
caseD_4,0x800115CC
caseD_0,0x800115D4
switchD,0x800122D0
caseD_6,0x800122D8
caseD_7,0x800122F0
caseD_8,0x80012318
caseD_9,0x80012330
caseD_e,0x80012368
caseD_12,0x80012378
caseD_13,0x80012390
caseD_a,0x800123A0
caseD_b,0x800123A0
caseD_c,0x800123A0
caseD_d,0x800123A0
caseD_f,0x800123A0
caseD_10,0x800123A0
caseD_11,0x800123A0
switchD,0x800123F4
caseD_f,0x800123FC
caseD_10,0x8001240C
caseD_11,0x8001241C
caseD_15,0x80012434
caseD_16,0x80012444
caseD_17,0x8001245C
caseD_18,0x80012474
caseD_12,0x8001247C
caseD_13,0x8001247C
caseD_14,0x8001247C
switchD,0x80014F10
caseD_ea,0x80014F18
caseD_eb,0x80014F20
caseD_ec,0x80014F40
caseD_ed,0x80014FD4
caseD_ee,0x80015054
caseD_ef,0x80015060
caseD_f0,0x80015080
caseD_f1,0x8001508C
default,0x800150D0
switchD,0x80018110
caseD_63,0x80018118
caseD_51,0x80018130
caseD_59,0x80018148
caseD_5a,0x80018150
caseD_58,0x80018158
caseD_5d,0x8001816C
caseD_5c,0x80018174
caseD_57,0x8001818C
caseD_56,0x80018194
caseD_55,0x800181B4
caseD_54,0x800181D4
caseD_5e,0x800181F4
caseD_5f,0x8001820C
caseD_52,0x8001821C
caseD_53,0x8001821C
caseD_5b,0x8001821C
caseD_60,0x8001821C
caseD_61,0x8001821C
caseD_62,0x8001821C
switchD,0x80018538
caseD_6,0x80018540
caseD_8,0x8001855C
caseD_9,0x80018570
caseD_a,0x80018584
caseD_b,0x80018590
caseD_c,0x800185A4
caseD_7,0x800185B4
switchD,0x80018DC4
caseD_6,0x80018DCC
caseD_8,0x80018DDC
caseD_9,0x80018DEC
caseD_a,0x80018DFC
caseD_b,0x80018E0C
caseD_c,0x80018E1C
caseD_7,0x80018E24
switchD,0x80019770
caseD_5,0x80019778
caseD_6,0x80019778
caseD_9,0x80019778
caseD_a,0x80019778
