Name,Address
__main,0x800110B8
SsUtReverbOff,0x800149FC
_SpuInit,0x800361B4
SpuStart,0x800362AC
_spu_init,0x80036328
_spu_writeByIO,0x800365BC
_spu_t,0x80036914
_spu_write,0x80036BA4
_spu_FsetRXX,0x80036C94
_spu_FsetRXXa,0x80036CDC
_spu_FsetDelayW,0x80036E1C
_spu_FsetDelayR,0x80036E48
_spu_FwaitFs,0x80036E74
_SpuDataCallback,0x80036ED4
SpuInitMalloc,0x80036EF8
_SpuMallocSeparateTo3,0x80036F4C
SpuMallocWithStartAddr,0x800372A8
_spu_gcSPU,0x80037560
SpuSetNoiseVoice,0x80037860
_SpuSetAnyVoice,0x80037884
SpuSetNoiseClock,0x80037A8C
SpuSetReverb,0x80037B3C
_SpuIsInAllocateArea_,0x80037C8C
SpuSetReverbModeParam,0x80037D18
_spu_setReverbAttr,0x80038228
SpuSetReverbDepth,0x80038748
SpuSetReverbVoice,0x800387C0
SpuClearReverbWorkArea,0x800387E4
SpuSetIRQ,0x80038980
SpuSetIRQAddr,0x80038AC0
SpuSetIRQCallback,0x80038B00
_SpuCallback,0x80038B44
SpuSetKey,0x80038B68
SpuGetKeyStatus,0x80038D6C
SpuSetTransferStartAddr,0x80038E60
SpuSetTransferMode,0x80038EB4
SpuSetPitchLFOVoice,0x80038F0C
SpuSetCommonAttr,0x80038F30
SpuSetVoiceVolume,0x800392C4
SpuSetVoiceVolumeAttr,0x8003934C
SpuSetVoicePitch,0x800394C4
SpuSetVoiceStartAddr,0x80039540
SpuSetVoiceLoopStartAddr,0x800395BC
SpuSetVoiceDR,0x80039638
SpuSetVoiceSL,0x800396C4
SpuSetVoiceARAttr,0x8003974C
SpuSetVoiceSRAttr,0x800397E8
SpuSetVoiceRRAttr,0x800398CC
ScaleMatrix,0x8003B258
SetRotMatrix,0x8003B388
SetTransMatrix,0x8003B418
RotTransPers,0x8003BAD8
RotMatrix,0x8003BE88
_patch_gte,0x8003CC98
VSync,0x8003CDD8
v_wait,0x8003CF20
ResetCallback,0x8003CFBC
InterruptCallback,0x8003CFEC
DMACallback,0x8003D01C
VSyncCallback,0x8003D04C
StopCallback,0x8003D0B0
CheckCallback,0x8003D110
SetIntrMask,0x8003D138
startIntr,0x8003D154
trapIntr,0x8003D230
setIntr,0x8003D418
stopIntr,0x8003D56C
memclr,0x8003D6A0
startIntrVSync,0x8003D6CC
memclr,0x8003D7C8
startIntrDMA,0x8003D7F4
memclr,0x8003DA70
CdInit,0x8003DAF4
CdRead2,0x800404B8
data_ready_callback,0x80040874
StGetBackloc,0x80040904
StFreeRing,0x800409EC
init_ring_status,0x80040AA8
StGetNext,0x80040AE8
StRingStatus,0x80041734
InitHeap,0x800428B4
FlushCache,0x800428C4
SetMem,0x800428F4
DeliverEvent,0x80042914
OpenEvent,0x80042924
CloseEvent,0x80042934
WaitEvent,0x80042944
EnableEvent,0x80042964
DisableEvent,0x80042974
InitPAD2,0x80042984
StartPAD2,0x80042994
ReturnFromException,0x800429D4
ResetEntryInt,0x800429E4
HookEntryInt,0x800429F4
UnDeliverEvent,0x80042A04
ChangeClearPAD,0x80042AC4
ChangeClearRCnt,0x80042AD4
SetRCnt,0x80042AE4
GetRCnt,0x80042B84
StartRCnt,0x80042BBC
StopRCnt,0x80042BF0
exit,0x80042C5C
setjmp,0x80042C7C
strcmp,0x80042C8C
strncmp,0x80042C9C
memcpy,0x80042CBC
printf,0x80042CEC
strlen,0x80043558
memchr,0x80043568
memmove,0x80043578
GPU_cw,0x80046458
