Name,Address
start,0x800110C0
stup1,0x800110E4
stup0,0x80011160
VsyncHandler,0x8001155C
SysInit,0x8001171C
main,0x80011C38
SpuInit,0x80036194
SPU_OBJ_DC,0x80036404
SPU_OBJ_3AC,0x800366D4
SPU_OBJ_440,0x80036768
_spu_FiDMA,0x80036788
SPU_OBJ_520,0x80036848
_spu_r_,0x80036858
SPU_OBJ_7E0,0x80036B08
SPU_OBJ_868,0x80036B90
SPU_OBJ_8EC,0x80036C14
_spu_read,0x80036C2C
SPU_OBJ_9AC,0x80036CD4
SPU_OBJ_A50,0x80036D78
_spu_FgetRXXa,0x80036D80
SPU_OBJ_A8C,0x80036DB4
_spu_FsetPCR,0x80036DBC
SPU_OBJ_AE4,0x80036E0C
SPU_OBJ_B8C,0x80036EB4
S_M_INIT_OBJ_4C,0x80036F44
S_M_WSA_OBJ_70,0x80036FBC
S_M_WSA_OBJ_8C,0x80036FD8
S_M_WSA_OBJ_168,0x800370B4
S_M_WSA_OBJ_1F8,0x80037144
S_M_WSA_OBJ_338,0x80037284
S_M_WSA_OBJ_33C,0x80037288
S_M_WSA_OBJ_3A8,0x800372F4
S_M_WSA_OBJ_4D8,0x80037424
S_M_WSA_OBJ_508,0x80037454
S_M_WSA_OBJ_5E0,0x8003752C
S_M_WSA_OBJ_5EC,0x80037538
S_M_WSA_OBJ_5F8,0x80037544
S_M_INT_OBJ_50,0x800375B0
S_M_INT_OBJ_C0,0x80037620
S_M_INT_OBJ_270,0x800377D0
S_SAV_OBJ_38,0x800378BC
S_SAV_OBJ_114,0x80037998
S_SAV_OBJ_1E8,0x80037A6C
S_SAV_OBJ_1F8,0x80037A7C
S_SNC_OBJ_24,0x80037AB0
SpuRead,0x80037ADC
S_SR_OBJ_B0,0x80037BEC
S_SR_OBJ_B4,0x80037BF0
_SpuIsInAllocateArea,0x80037C0C
S_M_UTIL_OBJ_2C,0x80037C38
S_M_UTIL_OBJ_78,0x80037C84
S_M_UTIL_OBJ_B8,0x80037CC4
S_M_UTIL_OBJ_104,0x80037D10
S_SRMP_OBJ_170,0x80037E88
S_SRMP_OBJ_180,0x80037E98
S_SRMP_OBJ_2AC,0x80037FC4
S_SRMP_OBJ_340,0x80038058
S_SRMP_OBJ_38C,0x800380A4
S_SRMP_OBJ_438,0x80038150
S_SRMP_OBJ_45C,0x80038174
S_SRMP_OBJ_4DC,0x800381F4
S_CRWA_OBJ_9C,0x80038880
