Name,Address,Type
D_80000000,0x80000000,label
D_80000004,0x80000004,label
switchdataD_80010000,0x80010000,label
D_80010014,0x80010014,label
D_80010020,0x80010020,label
jtbl_80010028,0x80010028,label
jtbl_800100C8,0x800100C8,label
D_80010100,0x80010100,label
D_8001010E,0x8001010E,label
D_80010118,0x80010118,label
D_80010120,0x80010120,label
D_80010124,0x80010124,label
D_8001029C,0x8001029C,label
jtbl_8001032C,0x8001032C,label
D_80010438,0x80010438,label
D_8001049C,0x8001049C,label
D_800104B4,0x800104B4,label
D_800104C4,0x800104C4,label
D_800104D4,0x800104D4,label
D_800104E8,0x800104E8,label
D_800104FC,0x800104FC,label
D_8001050C,0x8001050C,label
D_8001051C,0x8001051C,label
D_800105A8,0x800105A8,label
D_800105EC,0x800105EC,label
D_80010608,0x80010608,label
D_80010624,0x80010624,label
D_80010640,0x80010640,label
D_80010650,0x80010650,label
D_80010668,0x80010668,label
D_800107AC,0x800107AC,label
D_800107BC,0x800107BC,label
D_800107D8,0x800107D8,label
D_800107E4,0x800107E4,label
D_80010800,0x80010800,label
D_80010814,0x80010814,label
D_80010834,0x80010834,label
D_8001083C,0x8001083C,label
D_80010848,0x80010848,label
D_80010850,0x80010850,label
D_80010860,0x80010860,label
D_8001089C,0x8001089C,label
D_800108A8,0x800108A8,label
D_800108B4,0x800108B4,label
D_800108C0,0x800108C0,label
D_800108DC,0x800108DC,label
D_800108F4,0x800108F4,label
D_80010910,0x80010910,label
D_80010930,0x80010930,label
D_8001093C,0x8001093C,label
D_8001094C,0x8001094C,label
D_80010978,0x80010978,label
D_80010980,0x80010980,label
D_800109B0,0x800109B0,label
D_800109D4,0x800109D4,label
D_800109F4,0x800109F4,label
D_80010A08,0x80010A08,label
D_80010A2C,0x80010A2C,label
D_80010A4C,0x80010A4C,label
D_80010A68,0x80010A68,label
D_80010A6C,0x80010A6C,label
D_80010A6E,0x80010A6E,label
D_80010A70,0x80010A70,label
D_80010A8C,0x80010A8C,label
D_80010AAC,0x80010AAC,label
D_80010AB4,0x80010AB4,label
D_80010ACC,0x80010ACC,label
D_80010AE4,0x80010AE4,label
D_80010AFC,0x80010AFC,label
s_unknown_80010B10,0x80010B10,label
s_unknown_80010B28,0x80010B28,label
s_mdec_rest_timeout,0x80010B2C,label
s_unknown_80010B3C,0x80010B3C,label
s_dma_status,0x80010B4C,label
s_fifo_status,0x80010B74,label
s_timeout,0x80010BAC,label
D_80010BBC,0x80010BBC,label
D_80010BD0,0x80010BD0,label
D_80010CCC,0x80010CCC,label
D_80010CEC,0x80010CEC,label
D_80010D00,0x80010D00,label
s_SetGraphDebug,0x80010D18,label
D_80010D44,0x80010D44,label
D_80010D58,0x80010D58,label
s_SetDispMask,0x80010D74,label
D_80010D88,0x80010D88,label
D_80010D9C,0x80010D9C,label
D_80010DA8,0x80010DA8,label
D_80010DBC,0x80010DBC,label
D_80010DC0,0x80010DC0,label
D_80010DCC,0x80010DCC,label
D_80010DD8,0x80010DD8,label
D_80010DE4,0x80010DE4,label
D_80010DF0,0x80010DF0,label
D_80010E08,0x80010E08,label
D_80010E20,0x80010E20,label
D_80010E34,0x80010E34,label
D_80010E4C,0x80010E4C,label
D_80010E64,0x80010E64,label
D_80010E98,0x80010E98,label
D_80010EB0,0x80010EB0,label
D_80010EC8,0x80010EC8,label
D_80010ED8,0x80010ED8,label
D_80010EF0,0x80010EF0,label
D_80010F00,0x80010F00,label
D_80010F18,0x80010F18,label
D_80010F24,0x80010F24,label
D_80010F30,0x80010F30,label
D_80010F4C,0x80010F4C,label
D_80010F68,0x80010F68,label
D_80010F74,0x80010F74,label
D_80010F80,0x80010F80,label
D_80010F8C,0x80010F8C,label
D_80010F98,0x80010F98,label
D_80010FA8,0x80010FA8,label
D_80010FBC,0x80010FBC,label
D_80010FE4,0x80010FE4,label
D_80010FFC,0x80010FFC,label
D_80011014,0x80011014,label
D_8001102C,0x8001102C,label
D_80011034,0x80011034,label
D_8001103C,0x8001103C,label
D_80011044,0x80011044,label
D_8001104C,0x8001104C,label
D_80011050,0x80011050,label
D_80011054,0x80011054,label
D_8001105C,0x8001105C,label
D_80011064,0x80011064,label
D_8001106C,0x8001106C,label
D_80011074,0x80011074,label
D_8001107C,0x8001107C,label
D_80011084,0x80011084,label
D_80011088,0x80011088,label
D_8001108C,0x8001108C,label
D_80011094,0x80011094,label
D_8001109C,0x8001109C,label
__main,0x800110B8,func
start,0x800110C0,func
stup1,0x800110E4,func
stup0,0x80011160,func
D_8001116C,0x8001116C,label
func_8001117C,0x8001117C,func
func_800111E4,0x800111E4,func
func_80011274,0x80011274,func
func_800112E8,0x800112E8,func
func_8001146C,0x8001146C,func
ff7_vsync_handler,0x8001155C,func
ff7_sys_init,0x8001171C,func
func_8001178C,0x8001178C,func
func_8001187C,0x8001187C,func
